preys.ix,FA_1,FA_2,FA_3,FA_4,FA_5,FA_6,FA_7,FA_8,FA_9,FA_10
Prey_1,0.000653503080904983,0.000717888907631338,0.627744447124943,0.105124219708841,0.0635865023311418,0.106940914203516,3.45193053326579e-07,0.0115733924695091,0.00613799234331082,0.0775207946371489
Prey_1,0.00653873369504159,0.00471092678678011,0.55020810691917,0.0695089752947661,0.0753658927043294,0.118777378523716,8.31367405304874e-05,0.00530860055442759,0.019216050209275,0.150282198571963
Prey_1,0.00261072417697296,0.00011452332815116,0.63099639766364,0.070995147543127,0.0466119209682739,0.143336669670619,5.41155497475493e-05,0.0089039771708928,0.0325921044085354,0.0637844195200408
Prey_1,0.001187503678019,0.000138723511597137,0.611364622171787,0.0566740479325162,0.104545496300592,0.103724430896401,4.25789926910322e-06,0.0103722631988896,0.0330050882484487,0.0789835661624802
Prey_1,0.00453083682024708,3.74023993664693e-05,0.594779718891658,0.102019334651497,0.0708407856005076,0.137847398596942,0.00273490769090174,0.00589235699004685,0.00919638793288911,0.0721208704259439
Prey_1,0.00211325014678135,0.002207922287892,0.620904011681381,0.0932652493129919,0.0505616279469774,0.101135832493815,0.0122037157465864,0.0150985018687248,0.00943273887170529,0.0930771496431446
Prey_1,0.0134754566303622,0.000185959493330296,0.592346030929717,0.0749078152510383,0.0800247077877755,0.152434333175269,0.000167925478762565,0.0167984019020675,0.00997514984241741,0.0596842195092601
Prey_1,0.00498164641837962,0.00110443674878295,0.656680733955471,0.0744999146477811,0.0528146620243551,0.112058562547194,0.00193268681918551,0.00179222518015552,0.0141259909046613,0.0800091407540344
Prey_1,0.00741699622406515,0.00103273682559672,0.564837179101534,0.087938578342115,0.0424919703629176,0.149004511734585,0.00673033141021212,0.00996852317135863,0.00622408068811438,0.124355092139502
Prey_1,0.00363657018021671,0.000735115572536997,0.564076963076277,0.0822981994009313,0.0865816064110579,0.136017530724167,0.00197201321015982,0.0113082585708423,0.0191044969524025,0.0942692459014077
Prey_1,0.00650317076134726,1.63138650430346e-05,0.693621514213673,0.0686148853502066,0.0624126629659943,0.0827201557941087,0.000205360051918817,0.00730661301763238,0.012788763553002,0.0658105604270739
